timestamp,rater,session_id,pair_index,pair_type,arc_a,arc_b,choice,swap_of,context_v,context_a,params_a,params_b,loudness_gain_a,loudness_gain_b,pool_version,arranger_sha256
2026-07-05T19:25:29,R03,aefe4a4e,0,seed_ramp_s,arc_158,arc_154,A,,-0.9009,0.1011,"{""context_id"": 3, ""dist_bin"": ""large"", ""ramp_s"": 12.0, ""chord"": ""min->maj""}","{""context_id"": 3, ""dist_bin"": ""large"", ""ramp_s"": 6.0, ""chord"": ""min->maj""}",0.23032508935623744,0.2265195760529884,1,0f82853dee79764c
2026-07-05T19:27:14,R03,aefe4a4e,1,seed_chord,arc_034,arc_035,B,,-0.6094,0.4325,"{""context_id"": 0, ""dist_bin"": ""large"", ""ramp_s"": 6.0, ""chord"": ""min->maj""}","{""context_id"": 0, ""dist_bin"": ""large"", ""ramp_s"": 6.0, ""chord"": ""maj->maj""}",0.13704883158910958,0.14627916516319167,1,0f82853dee79764c
2026-07-05T19:27:40,R03,aefe4a4e,2,seed_dist_bin,arc_169,arc_171,B,,-0.9009,0.1011,"{""context_id"": 3, ""dist_bin"": ""small"", ""ramp_s"": 3.0, ""chord"": ""min->maj""}","{""context_id"": 3, ""dist_bin"": ""medium"", ""ramp_s"": 3.0, ""chord"": ""min->maj""}",0.1021539567429659,0.13796527109839266,1,0f82853dee79764c
2026-07-05T19:29:28,R03,aefe4a4e,3,seed_chord,arc_063,arc_062,B,,-0.6371,-0.3126,"{""context_id"": 1, ""dist_bin"": ""medium"", ""ramp_s"": 16.0, ""chord"": ""maj->maj""}","{""context_id"": 1, ""dist_bin"": ""medium"", ""ramp_s"": 16.0, ""chord"": ""min->min""}",0.9538342327813037,1.0590248887424523,1,0f82853dee79764c
2026-07-05T19:30:32,R03,aefe4a4e,4,seed_ramp_s,arc_181,arc_177,A,,-0.9009,0.1011,"{""context_id"": 3, ""dist_bin"": ""medium"", ""ramp_s"": 12.0, ""chord"": ""maj->min""}","{""context_id"": 3, ""dist_bin"": ""medium"", ""ramp_s"": 6.0, ""chord"": ""maj->min""}",0.5172021537064265,0.4984841409166123,1,0f82853dee79764c
2026-07-05T19:31:33,R03,aefe4a4e,5,seed_ramp_s,arc_136,arc_140,A,,-0.8882,1.0,"{""context_id"": 2, ""dist_bin"": ""small"", ""ramp_s"": 6.0, ""chord"": ""min->min""}","{""context_id"": 2, ""dist_bin"": ""small"", ""ramp_s"": 12.0, ""chord"": ""min->min""}",0.22922797040789009,0.25754926634592207,1,0f82853dee79764c
2026-07-05T19:32:21,R03,aefe4a4e,6,seed_chord,arc_077,arc_076,same,,-0.6371,-0.3126,"{""context_id"": 1, ""dist_bin"": ""small"", ""ramp_s"": 12.0, ""chord"": ""maj->maj""}","{""context_id"": 1, ""dist_bin"": ""small"", ""ramp_s"": 12.0, ""chord"": ""min->maj""}",1.0227272834928232,1.022727283492823,1,0f82853dee79764c
2026-07-05T19:34:15,R03,aefe4a4e,7,seed_dist_bin,arc_158,arc_156,B,,-0.9009,0.1011,"{""context_id"": 3, ""dist_bin"": ""large"", ""ramp_s"": 12.0, ""chord"": ""min->maj""}","{""context_id"": 3, ""dist_bin"": ""medium"", ""ramp_s"": 12.0, ""chord"": ""min->maj""}",0.23032508935623744,0.21910887634320753,1,0f82853dee79764c
2026-07-05T19:35:32,R03,aefe4a4e,8,seed_ramp_s,arc_040,arc_044,A,,-0.6094,0.4325,"{""context_id"": 0, ""dist_bin"": ""small"", ""ramp_s"": 12.0, ""chord"": ""maj->min""}","{""context_id"": 0, ""dist_bin"": ""small"", ""ramp_s"": 16.0, ""chord"": ""maj->min""}",0.49316039335485923,0.6123198745544425,1,0f82853dee79764c
2026-07-05T19:37:35,R03,aefe4a4e,9,seed_chord,arc_016,arc_017,A,,-0.6094,0.4325,"{""context_id"": 0, ""dist_bin"": ""small"", ""ramp_s"": 12.0, ""chord"": ""min->min""}","{""context_id"": 0, ""dist_bin"": ""small"", ""ramp_s"": 12.0, ""chord"": ""maj->maj""}",0.16697229388163812,0.1692286792023325,1,0f82853dee79764c
