timestamp,rater,session_id,trial_index,trial_type,arc_id,scene_id,context_v,context_a,rating,params,loudness_gain,aw_rms_start,aw_rms_end,pool_version,arranger_sha256
2026-07-05T21:51:37,R26,d73d19ea,0,normal,arc_087,c1s4,-0.6371,-0.3126,1.0,"{""context_id"": 1, ""dist_bin"": ""medium"", ""ramp_s"": 16.0, ""chord"": ""maj->maj""}",0.24266237095133925,0.01392,0.01657,1,0f82853dee79764c
2026-07-05T21:51:54,R26,d73d19ea,1,normal,arc_088,c1s5,-0.6371,-0.3126,1.0,"{""context_id"": 1, ""dist_bin"": ""medium"", ""ramp_s"": 3.0, ""chord"": ""min->min""}",0.2934544961595396,0.00983,0.01868,1,0f82853dee79764c
2026-07-05T21:52:25,R26,d73d19ea,2,normal,arc_165,c3s2,-0.9009,0.1011,0.0,"{""context_id"": 3, ""dist_bin"": ""small"", ""ramp_s"": 16.0, ""chord"": ""maj->maj""}",0.2756413866979895,0.01961,0.00797,1,0f82853dee79764c
2026-07-05T21:52:46,R26,d73d19ea,3,normal,arc_177,c3s4,-0.9009,0.1011,-1.0,"{""context_id"": 3, ""dist_bin"": ""medium"", ""ramp_s"": 6.0, ""chord"": ""maj->min""}",0.4984841409166123,0.02006,0.00636,1,0f82853dee79764c
2026-07-05T21:53:09,R26,d73d19ea,4,normal,arc_197,c0glide,-0.6094,0.4325,0.0,"{""context_id"": 0, ""dist_bin"": ""small"", ""ramp_s"": 8.5, ""chord"": ""min->min""}",0.15148138546862963,0.01072,0.01875,1,0f82853dee79764c
2026-07-05T21:53:36,R26,d73d19ea,5,normal,arc_116,c2s2,-0.8882,1.0,1.0,"{""context_id"": 2, ""dist_bin"": ""small"", ""ramp_s"": 12.0, ""chord"": ""min->maj""}",0.26013761356367504,0.01703,0.01602,1,0f82853dee79764c
2026-07-05T21:54:02,R26,d73d19ea,6,normal,arc_083,c1s4,-0.6371,-0.3126,0.0,"{""context_id"": 1, ""dist_bin"": ""medium"", ""ramp_s"": 12.0, ""chord"": ""maj->maj""}",0.2256555638871575,0.01336,0.01746,1,0f82853dee79764c
2026-07-05T21:54:19,R26,d73d19ea,7,normal,arc_171,c3s3,-0.9009,0.1011,1.0,"{""context_id"": 3, ""dist_bin"": ""medium"", ""ramp_s"": 3.0, ""chord"": ""min->maj""}",0.13796527109839266,0.02092,0.00386,1,0f82853dee79764c
2026-07-05T21:54:42,R26,d73d19ea,8,normal,arc_070,c1s2,-0.6371,-0.3126,1.0,"{""context_id"": 1, ""dist_bin"": ""large"", ""ramp_s"": 6.0, ""chord"": ""min->maj""}",0.29660782002326147,0.0122,0.01721,1,0f82853dee79764c
2026-07-05T21:55:03,R26,d73d19ea,9,normal,arc_008,c0s1,-0.6094,0.4325,1.0,"{""context_id"": 0, ""dist_bin"": ""medium"", ""ramp_s"": 6.0, ""chord"": ""min->min""}",0.21801700885252556,0.00237,0.01772,1,0f82853dee79764c
2026-07-05T21:55:20,R26,d73d19ea,10,repeat,arc_088,c1s5,-0.6371,-0.3126,1.0,"{""context_id"": 1, ""dist_bin"": ""medium"", ""ramp_s"": 3.0, ""chord"": ""min->min""}",0.2934544961595396,0.00983,0.01868,1,0f82853dee79764c
2026-07-05T21:55:40,R26,d73d19ea,11,normal,arc_075,c1s3,-0.6371,-0.3126,0.0,"{""context_id"": 1, ""dist_bin"": ""large"", ""ramp_s"": 6.0, ""chord"": ""maj->maj""}",0.5221786853317638,0.00595,0.01774,1,0f82853dee79764c
2026-07-05T21:56:06,R26,d73d19ea,12,normal,arc_143,c2s5,-0.8882,1.0,-1.0,"{""context_id"": 2, ""dist_bin"": ""medium"", ""ramp_s"": 12.0, ""chord"": ""maj->min""}",0.30261085965645873,0.01598,0.01587,1,0f82853dee79764c
2026-07-05T21:56:28,R26,d73d19ea,13,normal,arc_113,c2s2,-0.8882,1.0,0.0,"{""context_id"": 2, ""dist_bin"": ""small"", ""ramp_s"": 6.0, ""chord"": ""maj->maj""}",0.235728449900564,0.01681,0.01158,1,0f82853dee79764c
2026-07-05T21:57:00,R26,d73d19ea,14,normal,arc_100,c2s0,-0.8882,1.0,-1.0,"{""context_id"": 2, ""dist_bin"": ""medium"", ""ramp_s"": 16.0, ""chord"": ""min->min""}",0.1614660810581435,0.01687,0.00983,1,0f82853dee79764c
2026-07-05T21:57:27,R26,d73d19ea,15,normal,arc_039,c0s4,-0.6094,0.4325,1.0,"{""context_id"": 0, ""dist_bin"": ""large"", ""ramp_s"": 12.0, ""chord"": ""maj->maj""}",0.13707104890880745,0.00254,0.02264,1,0f82853dee79764c
2026-07-05T21:57:45,R26,d73d19ea,16,normal,arc_105,c2s1,-0.8882,1.0,1.0,"{""context_id"": 2, ""dist_bin"": ""small"", ""ramp_s"": 3.0, ""chord"": ""maj->min""}",0.17370648150311457,0.00647,0.02001,1,0f82853dee79764c
2026-07-05T21:58:12,R26,d73d19ea,17,normal,arc_037,c0s4,-0.6094,0.4325,-1.0,"{""context_id"": 0, ""dist_bin"": ""medium"", ""ramp_s"": 12.0, ""chord"": ""maj->maj""}",0.3104197766634379,0.00489,0.02184,1,0f82853dee79764c
2026-07-05T21:58:30,R26,d73d19ea,18,normal,arc_065,c1s2,-0.6371,-0.3126,-1.0,"{""context_id"": 1, ""dist_bin"": ""medium"", ""ramp_s"": 3.0, ""chord"": ""maj->min""}",0.4407755851247846,0.02058,0.00475,1,0f82853dee79764c
2026-07-05T21:58:57,R26,d73d19ea,19,normal,arc_056,c1s1,-0.6371,-0.3126,0.0,"{""context_id"": 1, ""dist_bin"": ""small"", ""ramp_s"": 12.0, ""chord"": ""min->min""}",0.1946829723021518,0.00186,0.0222,1,0f82853dee79764c
2026-07-05T21:59:13,R26,d73d19ea,20,repeat,arc_171,c3s3,-0.9009,0.1011,0.0,"{""context_id"": 3, ""dist_bin"": ""medium"", ""ramp_s"": 3.0, ""chord"": ""min->maj""}",0.13796527109839266,0.02092,0.00386,1,0f82853dee79764c
2026-07-05T21:59:34,R26,d73d19ea,21,normal,arc_137,c2s5,-0.8882,1.0,0.0,"{""context_id"": 2, ""dist_bin"": ""small"", ""ramp_s"": 6.0, ""chord"": ""maj->min""}",0.2377792896456585,0.01223,0.01451,1,0f82853dee79764c
2026-07-05T22:00:05,R26,d73d19ea,22,normal,arc_062,c1s1,-0.6371,-0.3126,-1.0,"{""context_id"": 1, ""dist_bin"": ""medium"", ""ramp_s"": 16.0, ""chord"": ""min->min""}",1.0590248887424523,0.00697,0.0193,1,0f82853dee79764c
