timestamp,rater,clip_id,source,kind,rating,bad_texture,elapsed_s,comment,soundscape,center,rich,cents,period,rev_depth,tail,cutoff
2026-07-18T13:00:42,R03,vwander_055,wander,held,0.0,0,27.46,,,0.4478798601776361,0.3431533162482083,6.835174509324133,16.486774135380983,0.2132543258368969,7.771809376776218,465.58550000190735
2026-07-18T13:01:14,R03,vwander_063,wander,held,-1.0,0,32.71,,,0.1320756003260612,0.5473743138834835,18.49236259702593,17.8271378390491,0.9340623056516052,5.7762041836977005,1602.6988180354238
2026-07-18T19:41:35,R03,vwander_054,wander,held,-1.0,0,53.85,,,-0.212957140058279,0.6200239813886583,26.51747799944133,8.541568465530872,0.8822062125429511,12.299842204898596,2374.784584902227
2026-07-18T19:43:56,R03,vwander_061,wander,held,0.0,0,140.72,,,-0.9132818058133124,0.3002763443626463,28.13374967779964,14.03231170028448,0.6456242080777883,11.766433890908957,1028.233091905713
2026-07-18T19:49:34,R03,vtex_011,vtex,arc,0.0,0,337.61,,,-1.0,0.0,0.0,,0.0,6.0,600.0
2026-07-18T19:50:07,R03,vwander_044,wander,held,-1.0,0,33.19,,,0.5488219019025564,0.7545864393003285,17.321429583244026,15.635321624577044,0.9003495264798402,14.91755211725831,951.400108449161
2026-07-18T19:50:40,R03,vtrans_028,wander,transition,1.0,0,33.17,,,-0.549314783886075,0.3042617195285856,22.21531345974654,12.572075136005878,0.7829840824007988,13.017456598579884,650.3871804103255
2026-07-18T20:57:06,R03,vwander_057,wander,held,-1.0,0,53.59,good and bassy for dar atmosphere. can barely here the higher notes,,-0.0605755168944597,0.4400770787149667,6.097224396653473,11.317421298474072,0.4304606204852462,10.972465176135302,1366.7599894106388
2026-07-18T20:58:12,R03,vtrans_023,wander,transition,-1.0,0,65.65,"transition too short. from 20s onwards, the track seems undecided about which direction to go",,-0.1941299568861723,0.761987013462931,19.02601944282651,15.86056675389409,0.6887302154675126,14.02424507588148,1776.2763237580657
2026-07-18T20:58:57,R03,vtrans_015,wander,transition,-1.0,0,44.95,starting chord up to 7s sounded out of tune. the subbase at the end could be louder,,-0.3829977735877037,0.7311687974259258,9.03923976700753,9.81376389414072,0.7971652036532759,9.21462231129408,1699.9488107860088
2026-07-18T20:59:30,R03,vwander_053,wander,held,0.0,0,33.13,,,-0.7291738893836737,0.5043137857690454,16.328165396116674,18.691925778985023,0.991432318277657,13.761077422648668,1189.8503443226218
2026-07-18T20:59:57,R03,vwander_051,wander,held,-1.0,0,27.31,a bit lite a horror movie. not sure if that's a good or bad thing,,0.581626396626234,0.4592113748192787,28.933885316364467,13.412762209773064,0.495161766000092,8.56573124229908,1421.9011511653662
2026-07-18T21:02:37,R03,vtex_012,vtex,arc,0.0,0,25.55,,,0.5,0.0,0.0,,0.0,6.0,600.0
2026-07-18T21:03:11,R03,vtex_021,vtex,arc,0.0,0,33.25,sounds too monophonic,,0.5,0.0,0.0,,0.0,6.0,600.0
2026-07-18T21:04:03,R03,vtrans_007,wander,transition,0.0,0,52.7,"this sounds ""hopeful"". not hpayy but hopeful",,-0.0398682877421379,0.6662769082002342,26.33019482716918,13.783081352710724,0.3883194362744689,5.602833312004805,928.4117564558984
2026-07-18T21:04:50,R03,vtrans_017,wander,transition,0.0,0,46.68,the transition makes this sound hopeful. then  the end make it sounds a bit lie despair,,0.5730114653706551,0.7200540017336607,15.569935105741024,13.556798812001944,1.0995596980676057,6.832640394568443,2241.7057793587446
2026-07-18T21:06:10,R03,vwander_049,wander,held,1.0,0,79.69,"this sounds wanderous, good for something that needs to be sustained for a long time",,-0.3628857918083668,0.3918562202714383,19.44088418502361,9.613862711936235,0.7095265470445156,14.5552278123796,879.170679487288
2026-07-18T21:07:31,R03,vtex_001,vtex,arc,0.0,0,81.62,"if after the transition, the hold is sustained for sometime, this would be a good transition into a completely differennt mood",,-1.0,0.0,0.0,,0.0,6.0,600.0
2026-07-18T21:08:57,R03,vtrans_019,wander,transition,1.0,0,86.03,wishful and hopeful. the transition around 18s comes too soon after the one from 12s,,-0.6468351352959871,0.6188056987710298,5.906642829068005,8.168818760663271,0.2957029080018401,14.885092202574016,2658.893311396241
2026-07-18T21:10:43,R03,vtrans_030,wander,transition,-1.0,0,105.99,first 2 seconds sounds a bit farty.,,0.7333064749836922,0.5305090054869652,25.823740353807807,8.966040268540382,0.6180912300944328,4.938545446842909,1574.1227952763438
2026-07-18T21:13:47,R03,vwander_013,wander,held,0.0,0,183.56,this makes me think I am actually hearing 2 tones repeated twoce. i like it,,-0.8498856090009212,0.3769246756099164,12.32269622385502,16.169761694967747,0.4079552887007594,12.532617300748823,1541.5431270375848
2026-07-18T21:14:17,R03,vwander_020,wander,held,1.0,0,29.94,"not strickly happy, but has a hint of hope",,0.9346722438931464,0.6267132937908173,11.332388799637556,18.907758936285973,0.5005044125020504,10.694963082671164,521.0150139406323
2026-07-18T21:15:44,R03,vwander_010,wander,held,0.0,0,87.47,"of the volume of this changes in a more pronounced way but slowly, it will really draw me it",,-0.702885914593935,0.6354435688816011,5.532978912815452,14.359197665005922,0.3012236326932907,14.792028725147247,1996.8863582238555
2026-07-18T21:16:44,R03,vwander_060,wander,held,0.0,0,59.29,first 5 seconds sounds a bit farty. this again could bit used a a long transition leading you into another journy,,0.6792114283889532,0.6552715624682606,8.369032335467637,10.915178302675486,1.0743572132661938,7.224162824451923,2937.744435854256
2026-07-18T21:17:31,R03,vtrans_025,wander,transition,0.0,0,47.62,great build up to something,,0.9786383882164956,0.6444508598186076,20.531635261140764,10.034167055040598,0.5071885770186781,9.31494476273656,2986.664715781808
2026-07-18T21:18:25,R03,vwander_042,wander,held,-1.0,0,53.83,"this is a good clip to overlay thunder or something over, that should be the next step",,-0.6335718631744385,0.7094275101087988,29.926291382871568,10.508502699434755,0.3967609543353319,8.204629063606262,715.539463236928
2026-07-18T21:56:51,R03,vwander_022,wander,held,0.0,0,105.62,"not very eventful. best suited for wandering around VA [0,0]",none,-0.1534088179469108,0.7253318025730551,8.722068527713418,16.702609438449144,0.7198091985657811,4.68408789858222,1053.5874340683222
2026-07-18T22:04:45,R03,vwander_039,wander,held,-1.0,0,474.04,"the sounds is a little grating, but that's OK. short bursts of thunder might reinforce the darkness . depending on the loudness level of the drone itself, it can be either anger and confusion vs darkness and fritening",thunder/storm (+0.3),0.3250595573335886,0.4469849268905818,12.677687681280077,9.96267446130514,0.6374297959730029,15.82848009839654,2450.3430780023336
2026-07-18T22:06:03,R03,vtrans_016,wander,transition,0.0,0,77.71,"i think at conductor level, the should be at lower loudness to make this really ambient",none,-0.4395057391375303,0.3836722217500209,24.295999710448086,15.139592111110687,0.5465349432080984,12.28490774333477,508.798025175929
2026-07-18T22:07:32,R03,vwander_032,wander,held,0.0,0,89.26,you can potentially overlay this with water. but either the drone or the soundscape will have to be the dominant loudness,water/stream (+0.3),0.2239583004266023,0.6898654612712563,5.1067022094503045,8.01147398725152,0.4624226883053779,12.082080606371164,773.2407540082932
2026-07-18T22:08:12,R03,vwander_018,wander,held,-1.0,0,40.07,this would sound grate with something mechanical pulsing in and out,machine-hum (-0.6),-0.7540432382375002,0.6092728042975069,23.92199460417032,13.991604283452034,1.0045833818614482,6.97837745025754,752.3530267179012
2026-07-18T22:09:55,R03,vtex_013,vtex,arc,-1.0,0,103.4,this on its own is already causing anxiety. it is possible to make this even more suffocating by adding machine sounds on top,machine-hum (-0.6),-0.5,0.0,0.0,,0.0,6.0,600.0
2026-07-18T22:11:18,R03,vtrans_027,wander,transition,0.0,0,82.71,the drone itself is already powerful. wind may add texture but I don;t know if that will become too much,wind (0.0),-0.8034376073628664,0.6836673982441426,29.462880427017808,12.4280837289989,0.889782983623445,11.744683891534804,1919.1350053995848
2026-07-18T22:12:19,R03,vwander_031,wander,held,0.0,0,60.61,this is a good 2-time sustained drone. I would not mess with this with additional soundscape,none,0.187715757638216,0.3092230280861258,15.9750771895051,12.666843950748444,0.7639137076213955,11.238580599427223,2880.733005702496
2026-07-18T22:13:43,R03,vwander_011,wander,held,0.0,0,84.07,this itself should be transitioned from / to the previous drone to create a longer transition and really keep listeners guessing what is to come,none,0.9682053346186876,0.3595502112992108,24.913160521537066,10.679387398064137,0.9037425367161632,4.34532693400979,1306.3977554440498
2026-07-18T22:15:26,R03,vwander_015,wander,held,-1.0,0,103.28,this can be overlaid with both bursts of mechanical hums and thunders - or even footsteps if the machine to pick the precise steps to use as bursts,footsteps (-0.2),0.0686259604990482,0.4755469962954521,9.31779264472425,19.970150377601385,1.187356336787343,6.545179795473814,1007.7024202793835
2026-07-18T22:15:58,R03,vtex_019,vtex,arc,,1,31.45,this combo of 2 clips is just bad,none,-0.5,0.0,0.0,,0.0,6.0,600.0
2026-07-18T22:17:20,R03,vwander_048,wander,held,-1.0,0,82.48,"because of the swell, this is a good clip to fight against mechanical hums such that mechanical hums get louder at the drone's dip and fades when the drone rises",machine-hum (-0.6),0.0968332011252641,0.6022906971164048,14.10792739596218,15.355966247618198,0.3863083085045218,4.013677008450031,2788.449027761817
2026-07-18T22:18:03,R03,arc_194,vtex,arc,,1,42.82,"again, the combo of the 2 clips and short transition makes it sounds very boring and machine generated",none,1.0,0.0,0.0,,0.0,6.0,600.0
2026-07-18T22:20:25,R03,vwander_023,wander,held,0.0,0,141.95,this is so monophonic at a medium pitch that I think adding anything to it will make it very confusing and not pleasant,none,0.3883336838334799,0.5109911707229913,27.70551640540361,8.335343696177006,0.3594775598496199,15.249845482409,1744.4331603124738
2026-07-18T22:21:04,R03,arc_195,vtex,arc,,1,39.11,"again, the combo of the 2 clips and short transition makes it sounds very boring and machine generated",none,-1.0,0.0,0.0,,0.0,6.0,600.0
2026-07-19T00:09:35,R03,vtrans_005,wander,transition,0.0,0,6511.25,this again can be a wanderous transition,none,0.2385684978216886,0.7055439466610551,23.664201558567584,8.670380346477032,1.004745010100305,15.550928719341757,1367.2007106244564
